word/phrase,type,definition
agentic,adjective,"What we call AI when it does stuff on its own and we're too excited to ask if we should let it."
vibe-coding,phrase,"Programming technique where you describe what you want to an AI, cross your fingers, and ship it without reading the output."
context window,noun,"The AI's short-term memory, which you will absolutely exceed right when things were getting good."
hallucinate,verb,"What an AI does when it confidently tells you Abraham Lincoln invented the internet. It's not lying. It's *expressing*."
prompt engineer,noun,"A person whose entire job is talking to a chatbot correctly. Yes, this is on their LinkedIn."
ship,verb,"To release software before it's ready, ideally on a Friday afternoon, ideally before a holiday weekend."
10x,adjective,"A mythological multiplier applied to developers who write twice as much code as everyone else and call the cleanup 'tech debt'."
vibe shift,phrase,"When the room suddenly feels different about AI/crypto/your startup and nobody wants to say it out loud."
degen,noun,"Someone so committed to a bad financial decision that it loops back around to being kind of admirable."
rug pull,noun,"A startup exit strategy where the founders leave and take the money, but with extra steps."
grounding,noun,"The thing you add to your AI demo so it stops making things up — at least for the things you tested."
inference,noun,"The part of AI that costs real money, as opposed to the training part, which costs *obscene* money."
fine-tune,verb,"To take a perfectly good AI model and slightly break it for your specific use case."
multimodal,adjective,"An AI that can be wrong about text, images, and audio all at the same time."
agent,noun,"An AI with a to-do list and tool access. What could go wrong."
RAG,noun,"Teaching an AI to Google things before answering so it sounds less like it's making stuff up. (It still makes stuff up.)"
move fast,phrase,"A philosophy that means 'we will apologize later' delivered with the energy of a guy who has never been the one apologizing."
pivot,verb,"To fail at one thing and immediately describe it as a strategic realignment toward a better thing."
dogfood,verb,"To use your own product, usually cited as evidence of quality by the same team that just filed twelve internal bug reports."
post-AGI,adjective,"A vibe about a future nobody can define, everyone is scared of, and at least four startups are already monetizing."
token,noun,"The tiny billable unit of AI text that ensures your API bill is always slightly more than you expected."
latency,noun,"The pregnant pause before your AI responds, during which you begin to question every life choice."
embed,verb,"To squish the meaning of a word into a long list of numbers that a computer finds easier to vibe with."
slop,noun,"The beige, texture-free AI content that now makes up approximately 40% of the internet."
jailbreak,verb,"To convince an AI to abandon its values through creative roleplay, exactly like a movie villain would."
frontier model,noun,"The most powerful AI available, which will be obsolete by the time you finish reading this definition."
ratchet,verb,"To lock in progress so it can't go backward — what AI safety researchers say, while the rest of us hit 'deploy'."
defensible,adjective,"Startup-speak for 'please don't ask us what happens when Google does this.'"
async,adjective,"How remote teams describe their communication style when they mean 'nobody responds to Slack.'"
infra,noun,"The part of the system that nobody cares about until it goes down at 3am on a Saturday."
zero-shot,adjective,"What the AI does when you give it no examples and it still gets the answer right, causing you to briefly believe in magic."
overhang,noun,"The idea that there's capability just waiting to be unleashed, used to justify every large compute purchase ever made."
surface,verb,"To 'make data visible' — said by product managers who mean 'put a number on the dashboard so executives feel informed.'"
airdrop,noun,"Free crypto tokens distributed to users, worth either $47 or $47,000 depending on which week you check."
whitepaper,noun,"A long PDF that explains why this particular blockchain/AI/startup is different. Nobody reads past page three."
democratize,verb,"To make powerful technology available to everyone, pending your credit card number and agreement to our terms of service."
moat,noun,"The thing your startup claims to have and VCs pretend to believe until a better-funded competitor shows up."
scale,verb,"To grow so fast that all your old problems become new, more expensive problems."
unbundle,verb,"To chop up one working product into twelve smaller products, each with their own pricing page."
founder mode,phrase,"A management philosophy that means the CEO is in every meeting, which everyone agrees is great except the people in the meetings."
hyperscaler,noun,"AWS, Azure, or GCP — the three landlords of the internet to whom all startups eventually pay rent."
deprecate,verb,"To kill a feature while technically leaving it alive for 18 months so it's your users' fault when it breaks."
steelman,verb,"To argue the strongest version of your opponent's point before dismantling it, which sounds fair until you notice the dismantling part."
hardcoded,adjective,"A value written directly into the source code by someone who was 'just testing' and then left the company."
orchestration,noun,"Getting multiple AI agents to cooperate, which is exactly as chaotic as getting multiple humans to cooperate."
prompt injection,noun,"When someone tricks your AI assistant into ignoring you by hiding instructions in a webpage it was told to summarize."
metatransparency,noun,"When an AI company publishes rules for how their AI can be used so they can say they were transparent about it."
distillation,noun,"Training a small, cheap model to act like a big, expensive model — the AI equivalent of a knockoff handbag."
cold start,noun,"The awkward phase where your product has no users because it needs users to be useful. A real chicken-and-egg situation, but make it startup."
vibe check,phrase,"An informal meeting that could have been a Slack message, used to decide if a team 'feels right' before doing any actual evaluation."
